gene,time,expression
YBR175W,40,-0.035
YBR176W,40,0.114999995
YBR177C,40,-0.125
YBR178W,40,-0.22
YBR179C,40,0.035
YBR180W,40,0.040000003
YBR181C,40,0.155
YBR182C,40,0.435
YBR183W,40,-0.95500004
YBR184W,40,-0.195
YBR185C,40,-0.745
YBR186W,40,0.065
YBR187W,40,-0.105
YBR189W,40,-0.07
YBR190W,40,0.03
YBR191W,40,-0.26999998
YBR192W,40,-0.22500001
YBR195C,40,0.525
YBR196C,40,-0.68
YBR198C,40,0.145
YBR199W,40,-0.25
YBR200W,40,-0.019999996
YBR201W,40,-0.05
YBR202W,40,-0.875
YBR204C,40,-0.065
YBR206W,40,0.105000004
YBR207W,40,-0.69
YBR208C,40,-0.305
YBR209W,40,-0.045
YBR210W,40,-0.08
YBR211C,40,-0.305
YBR215W,40,0.06
YBR217W,40,-0.275
YBR218C,40,-0.11
YBR219C,40,0.17500001
YBR220C,40,0.0
YBR221C,40,-0.615
YBR222C,40,-0.405
YBR223C,40,0.18
YBR224W,40,0.13
YBR225W,40,0.27
YBR226C,40,0.26
YBR227C,40,0.65
YBR228W,40,0.105000004
YBR231C,40,0.13
YBR232C,40,0.145
YBR233W,40,0.205
YBR234C,40,-0.78
YBR237W,40,0.15
YBR238C,40,0.029999994
YBR239C,40,-0.135
YBR240C,40,-0.32999998
YBR242W,40,-0.265
YBR243C,40,-0.22
YBR244W,40,0.35000002
YBR245C,40,0.145
YBR246W,40,0.305
YBR247C,40,1.0450001
YBR248C,40,0.39999998
YBR249C,40,0.27
YBR250W,40,-0.07
YBR251W,40,-0.05
YBR252W,40,0.34
YBR253W,40,0.22
YBR254C,40,-0.07
YBR255W,40,0.16
YBR256C,40,-0.089999996
YBR257W,40,-0.43
YBR258C,40,0.155
YBR259W,40,-0.27
YBR260C,40,0.055
YBR261C,40,0.35999998
YBR262C,40,-0.155
YBR263W,40,-0.095
YBR264C,40,-0.205
YBR265W,40,-0.34
YBR266C,40,0.815
YBR268W,40,-0.29500002
YBR271W,40,1.025
YBR273C,40,0.495
YBR275C,40,0.275
YBR279W,40,0.035000004
YBR280C,40,-0.3
YBR281C,40,-0.09
YBR282W,40,-0.39
YBR283C,40,-0.51
YBR284W,40,-0.215
YBR285W,40,-0.38
YBR286W,40,-0.39499998
YBR287W,40,-0.625
YBR288C,40,0.004999999
YBR289W,40,0.030000001
YBR290W,40,0.38
YBR291C,40,0.4
YBR294W,40,0.14
YBR295W,40,0.17999999
YBR296C,40,-0.034999996
YBR298C,40,-0.145
YBR300C,40,0.295
YBR301W,40,0.73
YBR302C,40,-0.285
YCL002C,40,-0.195
YCL003W,40,-0.19
YCL005W,40,-0.545
YCL006C,40,-0.445
YCL007C,40,-0.205
YCL009C,40,-0.365
YCL011C,40,0.13499999
YCL012W,40,-0.745
YCL013W,40,-0.35500002
YCL014W,40,-0.635
YCL017C,40,-0.155
YCL019W,40,0.51
YCL020W,40,0.695
YCL021W,40,0.45999998
YCL022C,40,1.29
YCL023C,40,0.765
YCL024W,40,1.44
YCL025C,40,-1.14
YCL027W,40,-0.68
YCL028W,40,-0.03
YCL029C,40,0.53
YCL030C,40,-0.805
YCL031C,40,0.285
YCL032W,40,0.035
YCL033C,40,-0.120000005
YCL034W,40,-0.48
YCL035C,40,-0.075
YCL036W,40,-0.24000001
YCL037C,40,-0.060000002
YCL038C,40,-0.37
YCL039W,40,-0.17
YCL040W,40,-1.9549999
YCL041C,40,-0.38
YCL042W,40,-1.3399999
YCL043C,40,-0.635
YCL044C,40,-0.020000003
YCL045C,40,-0.405
YCL046W,40,-0.09
YCL047C,40,-0.1
YCL048W,40,0.024999999
YCL049C,40,0.32
YCL050C,40,0.074999996
YCL051W,40,-0.08
YCL052C,40,0.125
YCL053C,40,0.765
YCL054W,40,1.025
YCL055W,40,0.034999996
YCL056C,40,-0.21000001
YCL057W,40,-0.825
YCL058C,40,0.39499998
YCL059C,40,1.0350001
YCL060C,40,1.025
YCL061C,40,0.445
YCL062W,40,0.055000007
YCL063W,40,-0.3
YCL064C,40,-1.04
YCL065W,40,-0.63
YCL066W,40,-0.59
YCL067C,40,-0.175
YCL068C,40,0.125
YCL069W,40,0.4
YCL075W,40,0.29
YCLX01W,40,0.645
YCLX02C,40,0.99
YCLX03C,40,0.0
YCLX04W,40,-0.18
YCLX05C,40,-0.145
YCLX06C,40,-0.155
YCLX07W,40,-0.34
YCLX08C,40,-0.16499999
YCLX09W,40,-0.895
YCLX10C,40,-0.28
YCLX11W,40,-0.16499999
YCLX12W,40,-0.435
YCR001W,40,0.13
YCR002C,40,-0.275
YCR003W,40,-0.08499999
YCR004C,40,-0.595
YCR005C,40,-1.105
YCR006C,40,-0.16499999
YCR008W,40,0.2
YCR009C,40,0.155
YCR010C,40,0.015000001
YCR011C,40,-0.65
YCR012W,40,-1.81
YCR013C,40,-1.8399999
YCR014C,40,-0.06
YCR015C,40,-0.28
YCR016W,40,0.635
YCR017C,40,-0.375
YCR018C,40,-0.09
YCR019W,40,0.07
YCR020C,40,-0.055
YCR020C-A,40,-0.16
YCR021C,40,-0.16
YCR022C,40,0.29
YCR023C,40,-0.455
YCR024C,40,-0.79
YCR024C-A,40,-1.6700001
YCR025C,40,0.565
YCR026C,40,0.28
YCR027C,40,-0.075
YCR028C,40,-0.235
YCR029C,40,-0.114999995
YCR029C-A,40,-0.205
YCR030C,40,-0.29
YCR031C,40,-0.255
YCR032W,40,0.065
YCR033W,40,-0.034999996
YCR034W,40,-0.004999999
YCR035C,40,0.495
YCR036W,40,0.105
YCR037C,40,-0.049999997
YCR038C,40,-0.28
YCR039C,40,-0.13
YCR040W,40,-0.865
YCR041W,40,-0.96
YCR042C,40,-0.07
YCR043C,40,-0.32
YCR044C,40,-0.70500004
YCR045C,40,-0.125
YCR046C,40,-0.145
YCR047C,40,0.90999997
YCR048W,40,0.41
YCR049C,40,0.195
YCR050C,40,0.13499999
YCR051W,40,0.92
YCR052W,40,0.625
YCR053W,40,0.080000006
YCR054C,40,0.435
YCR055C,40,0.525
YCR056W,40,0.65
YCR057C,40,0.56
YCR059C,40,0.305
YCR060W,40,-0.975
YCR061W,40,-1.35
YCR062W,40,-0.66499996
YCR063W,40,-0.115
YCR064C,40,-0.625
YCR065W,40,0.48999998
YCR066W,40,0.055
YCR067C,40,-0.24
YCR068W,40,-0.385
YCR069W,40,-0.835
YCR070W,40,-0.49
YCR071C,40,-0.345
YCR072C,40,0.595
YCR073C,40,0.19999999
YCR074C,40,0.065
YCR075C,40,-0.105
YCR077C,40,0.035
YCR079W,40,-0.16
YCR080W,40,0.049999997
YCR081W,40,0.020000003
YCR082W,40,-0.1
YCR083W,40,0.285
YCR084C,40,-0.099999994
YCR085W,40,-0.22500001
YCR087W,40,0.685
YCR088W,40,-0.78
YCR089W,40,-0.19
YCR090C,40,0.14500001
YCR091W,40,-0.32999998
YCR092C,40,-0.055
YCR093W,40,-0.004999999
YCR094W,40,0.020000003
YCR095C,40,0.485
YCR096C,40,-0.16
YCR098C,40,-1.72
YCR101C,40,-0.23
YCR103C,40,0.425
YCR105W,40,0.23
YCR106W,40,-0.365
YCR107W,40,-0.33499998
YCRX12W,40,0.47
YCRX20C,40,0.07
YDL001W,40,0.38
YDL003W,40,1.93
YDL006W,40,0.175
YDL014W,40,0.435
YDL015C,40,-0.47
YDL016C,40,-0.145
YDL017W,40,0.62
YDL018C,40,0.685
YDL020C,40,0.015000001
YDL022W,40,-1.375
YDL023C,40,-1.5550001
YDL024C,40,-0.5
YDL025C,40,-0.19
YDL026W,40,-0.14500001
YDL027C,40,-0.055
YDL028C,40,-0.034999996
YDL029W,40,-0.585
YDL030W,40,0.02
YDL031W,40,0.77
YDL032W,40,-0.39499998
YDL033C,40,-0.145
YDL034W,40,-0.255
YDL035C,40,-0.08
YDL036C,40,0.28
YDL037C,40,-0.635
YDL038C,40,-0.155
YDL039C,40,-0.23500001
YDL040C,40,0.41
YDL041W,40,0.37
YDL042C,40,0.53
YDL043C,40,0.18
YDL044C,40,0.19000001
YDL045C,40,0.005
YDL046W,40,-0.44
YDL047W,40,0.635
YDL048C,40,0.505
YDL049C,40,0.515
YDL050C,40,0.94000006
YDL051W,40,1.185
YDL052C,40,-0.65999997
YDL053C,40,0.26
YDL054C,40,-0.3
YDL055C,40,0.26500002
YDL056W,40,-0.72
YDL057W,40,0.1
YDL058W,40,0.39
YDL059C,40,-0.015000001
YDL060W,40,0.70500004
YDL061C,40,-0.58000004
YDL062W,40,0.625
YDL063C,40,0.61
YDL064W,40,0.46
YDL065C,40,-0.010000005
YDL066W,40,-0.425
YDL067C,40,-0.465
YDL069C,40,0.275
YDL070W,40,0.24
YDL071C,40,0.3
YDL072C,40,-0.715
YDL073W,40,-0.155
YDL074C,40,0.28500003
YDL076C,40,-0.135
YDL077C,40,0.705
YDL078C,40,-0.215
YDL079C,40,-0.13
YDL080C,40,-0.1
YDL081C,40,-0.65
YDL082W,40,0.23499998
YDL083C,40,-0.32999998
YDL084W,40,-0.21000001
YDL085W,40,-0.225
YDL086W,40,-0.12
YDL087C,40,0.055
YDL088C,40,0.315
YDL089W,40,0.015000001
YDL090C,40,0.195
YDL091C,40,0.005000001
YDL092W,40,0.70500004
YDL093W,40,0.425
YDL095W,40,0.17999999
YDL096C,40,0.19
YDL097C,40,0.01
YDL100C,40,-0.015
YDL101C,40,0.71
YDL102W,40,0.415
YDL103C,40,0.36
YDL105W,40,0.265
YDL106C,40,0.044999998
YDL107W,40,-0.16499999
YDL108W,40,0.07
YDL109C,40,-0.2
YDL110C,40,-0.84000003
YDL111C,40,0.64
YDL112W,40,0.24
YDL113C,40,-0.08
YDL115C,40,-0.055
YDL116W,40,0.28
YDL117W,40,0.43999997
YDL118W,40,0.42000002
YDL119C,40,0.41
YDL120W,40,0.19
YDL121C,40,0.465
YDL124W,40,-0.605
YDL126C,40,-0.495
YDL127W,40,1.225
YDL128W,40,-0.54499996
YDL131W,40,0.21000001
YDL132W,40,-0.54499996
YDL133W,40,-0.21
YDL134C-A,40,-0.125
YDL135C,40,0.275
YDL138W,40,0.08499999
YDL140C,40,-0.049999997
YDL142C,40,0.02
YDL144C,40,-0.41
YDL145C,40,0.010000005
YDL146W,40,-0.475
YDL150W,40,0.69
YDL157C,40,0.58
YDL171C,40,-0.14
YDL174C,40,-0.605
YDL177C,40,0.16499999
YDL180W,40,-0.66999996
YDL183C,40,-0.055
YDL184C,40,-0.16000001
YDL193W,40,0.22
YDL207W,40,0.25
YDL211C,40,0.59499997
YDL213C,40,1.02
YDL214C,40,0.195
YDL215C,40,-0.34
YDL216C,40,0.19500001
YDL220C,40,0.18
YDL221W,40,0.15
YDL224C,40,-0.05
YDL225W,40,0.395
YDL226C,40,0.025
YDL228C,40,0.11
YDL229W,40,-0.16
YDL231C,40,-0.074999996
YDL232W,40,-0.155
YDL233W,40,0.099999994
YDL234C,40,-0.245
YDL235C,40,0.31
YDL236W,40,-0.049999997
YDL237W,40,-0.425
YDL238C,40,-0.030000001
YDL240W,40,-0.48999998
YDL241W,40,0.765
YDL242W,40,0.034999996
YDL243C,40,-0.19500001
YDL244W,40,0.035
YDL245C,40,-0.325
YDL246C,40,0.089999996
YDL247W,40,-0.22
YDL248W,40,-0.005000001
YDR001C,40,0.035
YDR002W,40,0.755
YDR003W,40,-0.024999999
YDR005C,40,-0.26999998
YDR006C,40,-0.17
YDR007W,40,-0.105
YDR008C,40,0.21000001
YDR009W,40,-0.035000004
YDR012W,40,-0.275
YDR013W,40,0.030000009
YDR014W,40,-0.24
YDR016C,40,-0.04500001
YDR018C,40,-0.35
YDR019C,40,-0.225
YDR020C,40,0.08
YDR021W,40,-0.045
YDR023W,40,0.33
YDR024W,40,0.26500002
YDR025W,40,0.024999999
YDR026C,40,-0.065
YDR027C,40,-0.034999996
YDR029W,40,-0.024999999
YDR030C,40,-0.13499999
YDR031W,40,0.045
YDR032C,40,-0.085
YDR033W,40,-2.28
YDR035W,40,-0.14
YDR036C,40,-0.22999999
YDR037W,40,-0.029999986
YDR038C,40,-0.025
YDR039C,40,-0.16
YDR040C,40,-0.265
YDR041W,40,-0.265
YDR043C,40,-0.45999998
YDR044W,40,0.68
YDR045C,40,0.505
YDR046C,40,0.045
YDR047W,40,-0.33499998
YDR048C,40,0.325
YDR049W,40,-0.12499999
YDR050C,40,-1.1949999
YDR051C,40,0.35
YDR052C,40,-0.695
YDR053W,40,0.67
YDR054C,40,0.525
YDR055W,40,0.745
YDR056C,40,0.53
YDR057W,40,0.044999987
YDR058C,40,0.105
YDR059C,40,-0.305
YDR060W,40,0.019999996
YDR061W,40,-0.37
YDR062W,40,0.04
YDR063W,40,-0.035
YDR064W,40,-0.105000004
YDR065W,40,-0.054999992
YDR067C,40,0.31
YDR069C,40,-0.13
YDR071C,40,0.405
YDR072C,40,-0.365
YDR073W,40,0.155
YDR074W,40,-0.675
YDR075W,40,0.38
YDR076W,40,0.14
YDR077W,40,-1.005
YDR079W,40,-0.14500001
YDR080W,40,-0.725
YDR081C,40,0.22
YDR083W,40,0.87
YDR084C,40,-0.105
YDR085C,40,0.14500001
YDR086C,40,0.38
YDR087C,40,0.755
YDR088C,40,0.53
YDR089W,40,-0.855
YDR090C,40,-0.515
YDR091C,40,-0.024999999
YDR092W,40,-0.030000001
YDR093W,40,-0.14
YDR094W,40,-0.15
YDR095C,40,-0.06
YDR096W,40,-0.275
YDR097C,40,1.4300001
YDR098C,40,0.22
YDR099W,40,-0.635
YDR100W,40,-0.43
YDR101C,40,0.755
YDR103W,40,0.005000003
YDR104C,40,0.24000001
YDR105C,40,-0.43
YDR107C,40,-0.255
YDR108W,40,0.385
YDR109C,40,0.1
YDR111C,40,0.86
YDR112W,40,0.97
YDR113C,40,0.72999996
YDR114C,40,0.049999997
YDR115W,40,-0.33
YDR116C,40,-0.475
YDR117C,40,0.185
YDR118W,40,0.07
YDR119W,40,-0.14
YDR120C,40,0.42
YDR121W,40,0.36
YDR122W,40,0.044999998
YDR124W,40,0.35500002
YDR125C,40,0.07
YDR126W,40,0.39000002
YDR127W,40,-0.095
YDR128W,40,-0.01
YDR130C,40,0.26
YDR131C,40,-0.035
YDR133C,40,-0.35
YDR134C,40,-0.525
YDR135C,40,-0.2
YDR137W,40,0.39
YDR138W,40,-0.029999997
YDR139C,40,0.29
YDR140W,40,-0.005000001
YDR141C,40,0.29500002
YDR142C,40,0.015000001
YDR143C,40,0.265
YDR144C,40,0.09
YDR145W,40,0.21000001
YDR146C,40,-1.215
YDR147W,40,0.29000002
YDR148C,40,-0.59
YDR150W,40,-0.16000001
YDR151C,40,-0.1
YDR152W,40,0.625
YDR153C,40,0.435
YDR154C,40,-0.17
YDR155C,40,-0.29000002
YDR156W,40,0.48499998
YDR157W,40,0.335
YDR158W,40,-0.61
YDR159W,40,0.14
YDR160W,40,0.2
YDR161W,40,0.725
YDR162C,40,0.385
YDR163W,40,0.32
YDR164C,40,0.29
YDR165W,40,0.55
YDR166C,40,-0.37
YDR167W,40,0.27
YDR168W,40,-0.01
YDR169C,40,0.035
YDR170C,40,0.035
YDR171W,40,-0.69500005
YDR172W,40,0.555
YDR173C,40,-0.08
YDR174W,40,-0.3
YDR175C,40,-0.24000001
YDR176W,40,0.215
YDR177W,40,0.28500003
YDR178W,40,-0.78499997
YDR179W-A,40,0.165
YDR180W,40,0.31
YDR181C,40,0.435
YDR182W,40,0.11
YDR184C,40,0.81500006
YDR185C,40,-0.120000005
YDR186C,40,0.45499998
YDR187C,40,0.24
YDR188W,40,0.22
YDR189W,40,0.32
YDR190C,40,0.33499998
YDR191W,40,-0.31
YDR192C,40,0.245
YDR193W,40,0.22999999
YDR194C,40,-0.345
YDR195W,40,0.415
YDR196C,40,0.105000004
YDR197W,40,-0.185
YDR198C,40,0.42
YDR199W,40,0.365
YDR200C,40,0.39
YDR201W,40,-0.055000007
YDR202C,40,0.05
YDR203W,40,-0.19
YDR205W,40,0.06
YDR206W,40,0.51
YDR207C,40,0.13
YDR208W,40,-0.20500001
YDR209C,40,0.13999999
YDR210W,40,0.14500001
YDR211W,40,0.43
YDR212W,40,0.165
YDR213W,40,0.78
YDR214W,40,-0.71500003
YDR215C,40,-0.47500002
YDR216W,40,-0.32999998
YDR217C,40,0.47
YDR219C,40,0.205
YDR221W,40,-0.495
YDR222W,40,0.23500001
YDR223W,40,0.19
YDR224C,40,0.65500003
YDR225W,40,0.30499998
YDR226W,40,0.055
YDR227W,40,0.1
YDR228C,40,0.285
YDR229W,40,0.075
YDR230W,40,-0.48000002
YDR231C,40,-0.615
YDR232W,40,0.355
YDR233C,40,-0.56
YDR234W,40,0.07
YDR235W,40,-0.25
YDR237W,40,-0.42000002
YDR238C,40,-0.255
YDR240C,40,0.185
YDR242W,40,-0.165
YDR244W,40,0.155
YDR245W,40,-0.08
YDR247W,40,0.0
YDR249C,40,-0.135
YDR251W,40,-0.08
YDR252W,40,-0.020000003
YDR253C,40,-0.20000002
YDR254W,40,-0.004999995
YDR255C,40,-0.155
YDR256C,40,0.029999997
YDR257C,40,0.075
YDR258C,40,-0.325
YDR260C,40,0.43
YDR261C,40,0.22999999
YDR262W,40,-0.06
YDR263C,40,0.11500001
YDR264C,40,-0.285
YDR265W,40,0.13
YDR266C,40,0.205
YDR267C,40,-0.165
YDR268W,40,-0.175
YDR269C,40,-0.47
YDR270W,40,-0.53499997
YDR271C,40,-0.58500004
YDR272W,40,0.07
YDR273W,40,0.885
YDR274C,40,0.4
YDR275W,40,0.11
YDR276C,40,-0.78
YDR277C,40,0.029999994
YDR279W,40,0.71000004
YDR280W,40,0.41
YDR281C,40,-0.3
YDR282C,40,-0.205
YDR284C,40,-0.725
YDR286C,40,-0.15
YDR288W,40,0.375
YDR292C,40,0.31
YDR293C,40,0.32999998
YDR294C,40,-0.155
YDR295C,40,0.225
YDR296W,40,-0.11000001
YDR297W,40,0.825
YDR298C,40,-0.69
YDR299W,40,0.34500003
YDR301W,40,0.024999999
YDR302W,40,-0.335
YDR303C,40,0.040000003
YDR304C,40,-0.105
YDR305C,40,0.21000001
YDR306C,40,0.08
YDR307W,40,0.095
YDR308C,40,0.125
YDR311W,40,0.36
YDR312W,40,0.72999996
YDR316W,40,0.13499999
YDR318W,40,0.14
YDR319C,40,-0.105
YDR320C,40,-0.13
YDR321W,40,0.22
YDR324C,40,0.12
YDR326C,40,-0.125
YDR328C,40,0.39
YDR329C,40,0.22
YDR330W,40,-0.11
YDR332W,40,0.31
YDR334W,40,-0.16
YDR342C,40,-0.78999996
YDR343C,40,-0.87
YDR345C,40,-0.004999999
YDR346C,40,0.095
YDR347W,40,-0.32999998
YDR348C,40,0.29500002
YDR349C,40,0.125
YDR350C,40,-0.02
YDR351W,40,0.14999999
YDR352W,40,-0.21000001
YDR353W,40,0.23
YDR354W,40,-0.405
YDR355C,40,0.375
YDR356W,40,0.26
YDR357C,40,0.325
YDR358W,40,-0.445
YDR359C,40,0.165
YDR360W,40,0.03
YDR361C,40,0.695
YDR362C,40,0.245
YDR363W,40,0.275
YDR364C,40,0.14500001
YDR365C,40,1.0
YDR366C,40,0.32
YDR367W,40,-0.125
YDR368W,40,-0.415
YDR369C,40,0.13
YDR370C,40,0.55
YDR371W,40,0.29
YDR372C,40,0.195
YDR373W,40,0.16999999
YDR375C,40,-0.395
YDR376W,40,-0.020000001
YDR377W,40,-0.235
YDR378C,40,-0.19
YDR379W,40,-0.005000003
YDR380W,40,-1.64
YDR381W,40,-0.38
YDR382W,40,-0.565
YDR383C,40,0.045
YDR384C,40,0.185
YDR385W,40,-0.42000002
YDR386W,40,0.145
YDR387C,40,-0.18
YDR388W,40,0.005
YDR389W,40,0.030000001
YDR390C,40,0.425
YDR391C,40,0.035000004
YDR392W,40,0.305
YDR393W,40,-0.205
YDR394W,40,-0.115
YDR395W,40,0.37
YDR396W,40,0.795
YDR397C,40,0.62
YDR399W,40,1.105
YDR400W,40,0.155
YDR401W,40,-0.035
YDR403W,40,-0.035
YDR405W,40,-0.285
YDR407C,40,-0.07
YDR408C,40,-0.055
YDR409W,40,-0.185
YDR410C,40,-0.345
YDR411C,40,-0.64
YDR412W,40,0.58
YDR413C,40,0.595
YDR414C,40,0.075
YDR415C,40,-0.055
YDR416W,40,0.16
YDR417C,40,0.114999995
YDR418W,40,0.049999997
YDR419W,40,0.18
YDR420W,40,0.29500002
YDR421W,40,-0.16499999
YDR422C,40,0.18
YDR423C,40,0.095
YDR424C,40,0.065000005
YDR425W,40,0.155
YDR426C,40,0.0
YDR427W,40,-0.19
YDR428C,40,-0.195
YDR429C,40,0.57500005
YDR430C,40,-0.775
YDR431W,40,-0.55
YDR432W,40,-0.44
YDR433W,40,-0.18
YDR434W,40,-0.35
YDR435C,40,-0.26
YDR436W,40,-0.325
YDR438W,40,-0.089999996
YDR439W,40,0.085
YDR440W,40,0.595
YDR442W,40,-0.05
YDR443C,40,-0.01
YDR444W,40,0.185
YDR445C,40,0.39999998
YDR446W,40,0.085
YDR447C,40,0.089999996
YDR448W,40,0.31
YDR449C,40,0.695
YDR450W,40,-0.09
YDR451C,40,-0.044999998
YDR453C,40,-0.465
YDR454C,40,-0.125
YDR455C,40,-0.605
YDR456W,40,-0.685
YDR457W,40,-0.030000001
YDR458C,40,-0.17500001
YDR459C,40,-0.35000002
YDR463W,40,0.17
YDR464W,40,0.445
YDR465C,40,0.66999996
YDR467C,40,0.015000001
YDR468C,40,0.08
YDR469W,40,0.16499999
YDR471W,40,0.265
YDR472W,40,0.045
YDR474C,40,-0.120000005
YDR475C,40,-0.11
YDR476C,40,-0.145
YDR477W,40,-0.120000005
YDR478W,40,-0.09
YDR479C,40,0.02
YDR480W,40,0.14
YDR481C,40,0.13499999
YDR482C,40,-0.255
YDR483W,40,0.125
YDR484W,40,-0.11
YDR485C,40,-0.015000001
YDR486C,40,0.305
YDR487C,40,0.06
YDR488C,40,0.16
YDR489W,40,0.615
YDR491C,40,0.325
YDR493W,40,-0.375
YDR494W,40,-0.19
YDR496C,40,0.80999994
YDR498C,40,-0.345
YDR500C,40,-0.099999994
YDR501W,40,0.21000001
YDR502C,40,-0.31
YDR503C,40,0.28500003
YDR504C,40,-0.405
YDR505C,40,-0.565
YDR508C,40,-0.155
YDR509W,40,0.115
YDR510W,40,-0.33
YDR511W,40,-0.40499997
YDR512C,40,0.125
YDR513W,40,-0.885
YDR518W,40,0.025000002
YDR519W,40,-0.255
YDR524C,40,0.005000003
YDR527W,40,0.19999999
YDR528W,40,0.59999996
YDR531W,40,0.19500001
YDR533C,40,-0.074999996
YDR539W,40,0.055
YDR541C,40,0.195
YDR543C,40,-0.075
YDR544C,40,0.145
YDR545W,40,-0.41500002
YEL001C,40,-0.19
YEL002C,40,-0.215
YEL003W,40,-0.005000001
YEL004W,40,0.035
YEL005C,40,0.095
YEL006W,40,-0.07
YEL007W,40,-0.35
YEL009C,40,-0.47500002
YEL011W,40,-1.01
YEL014C,40,0.305
YEL016C,40,-0.135
YEL017C-A,40,-1.025
YEL017W,40,-0.68
YEL019C,40,0.24
YEL021W,40,0.685
YEL024W,40,-1.285
YEL025C,40,-0.68
YEL026W,40,0.050000004
YEL027W,40,-0.95000005
YEL028W,40,-1.305
YEL029C,40,0.04
YEL030W,40,-1.405
YEL031W,40,-0.015
YEL032W,40,-0.45499998
YEL033W,40,-0.685
YEL034W,40,-0.56
YEL035C,40,-0.19
YEL037C,40,0.035
YEL039C,40,-0.895
YEL043W,40,0.155
YEL045C,40,-0.035000004
YEL047C,40,0.059999995
YEL048C,40,-0.17500001
YEL049W,40,0.265
YEL050C,40,-0.73
YEL051W,40,0.17999999
YEL052W,40,-0.57
YEL053C,40,-0.055
YEL055C,40,0.39
YEL056W,40,-0.04
YEL057C,40,0.105000004
YEL058W,40,0.120000005
YEL059C-A,40,0.085
YEL059W,40,0.05
YEL062W,40,0.195
YEL064C,40,0.145
YEL065W,40,-0.78999996
YEL066W,40,0.40499997
YEL067C,40,0.15
YEL068C,40,0.19999999
YEL069C,40,0.21000001
YEL070W,40,-0.19
YEL071W,40,-0.77
YEL072W,40,-0.46
YEL073C,40,0.025
YEL074W,40,-0.19
YEL075C,40,0.27999997
YEL076C,40,0.14
YEL076C-A,40,0.28
YEL077C,40,0.34
YER001W,40,0.74
YER002W,40,0.91
YER003C,40,-0.085
YER004W,40,-0.685
YER005W,40,-0.13
YER006W,40,0.93
YER007C-A,40,0.16
YER007W,40,0.365
YER009W,40,-0.04
YER011W,40,-0.16499999
YER012W,40,-0.05
YER013W,40,0.215
YER014W,40,0.57500005
YER015W,40,-0.445
YER016W,40,0.52
YER017C,40,-0.125
YER019C-A,40,0.41500002
YER019W,40,-0.014999993
